"number","title","pageid","namespace","length","touched"
"1","Aristotle","308","","142015","20200211014906"
"2","Arthur_Schopenhauer","700","","151208","20200211014906"
"3","Anaxagoras","1737","","20338","20200211093855"
"4","A._J._Ayer","2018","","29964","20200211014906"
"5","Baruch_Spinoza","3408","","108377","20200211014906"
"6","Buckminster_Fuller","4031","","94870","20200211014906"
"7","Bertrand_Russell","4163","","127453","20200210195637"
"8","Charles_Sanders_Peirce","6117","","137846","20200211014906"
"9","David_Hume","7925","","166732","20200211031304"
"10","Daniel_Dennett","8756","","38850","20200210203635"
"11","Empedocles","9553","","39702","20200211014907"
"12","Epicurus","10073","","87810","20200211014907"
"13","Francis_Bacon","11319","","83118","20200211014907"
"14","George_Berkeley","11958","","89004","20200211014907"
"15","Gottfried_Wilhelm_Leibniz","12281","","139314","20200211014907"
"16","Gilles_Deleuze","12557","","65267","20200211014909"
"17","Immanuel_Kant","14631","","152365","20200211031304"
"18","John_Stuart_Mill","15626","","85962","20200211023513"
"19","John_Dewey","16187","","90543","20200211014909"
"20","Jürgen_Habermas","16288","","64213","20200211042641"
"21","Karl_Popper","16623","","106424","20200209235013"
"22","Karl_Marx","16743","","162789","20200211072331"
"23","Marshall_McLuhan","19548","","94095","20200211014909"
"24","Plato","22954","","138458","20200211014910"
"25","Pythagoras","23275","","110745","20200211093855"
"26","Pierre_Teilhard_de_Chardin","23660","","69675","20200209171054"
"27","René_Descartes","25525","","105321","20200211014911"
"28","Roger_Bacon","25879","","98519","20200211014911"
"29","Thomas_Hobbes","29823","","62903","20200211014911"
"30","Thales_of_Miletus","30072","","78293","20200211093855"
"31","Willard_Van_Orman_Quine","33833","","45336","20200211014911"
"32","Lucretius","37145","","23956","20200211014911"
"33","Imre_Lakatos","38455","","39626","20200211014911"
"34","Alfred_North_Whitehead","43395","","114685","20200210195709"
"35","Henry_David_Thoreau","43421","","103357","20200211014911"
"36","Michel_Foucault","47643","","130744","20200211014912"
"37","Averroes","47836","","66857","20200211044438"
"38","Otto_Neurath","50089","","28969","20200206105216"
"39","Jacques_Derrida","53255","","132758","20200211014913"
"40","Rudolf_Carnap","57987","","44147","20200211014914"
"41","Paul_Feyerabend","59658","","41417","20200211014914"
"42","Hilary_Putnam","75233","","72202","20200211122119"
"43","Robert_Grosseteste","94721","","34612","20200211014918"
"44","Hannah_Arendt","95184","","272339","20200211014918"
"45","Auguste_Comte","132471","","62912","20200209235038"
"46","Al-Farabi","175040","","66189","20200211101931"
"47","Mario_Bunge","201112","","19844","20200211014927"
"48","Richard_Rorty","205495","","40002","20200204225332"
"49","Moritz_Schlick","207322","","20296","20200211014927"
"50","Frank_P._Ramsey","238285","","31051","20200211014929"
"51","Herbert_Spencer","248859","","71039","20200209121346"
"52","Richard_Swinburne","258693","","12680","20200211014929"
"53","Max_Black","302879","","6952","20200205134846"
"54","Michael_Dummett","302888","","26832","20200211014930"
"55","Paul_Kurtz","311092","","24154","20200210200043"
"56","Ian_Hacking","322956","","13265","20200209121346"
"57","Karl_Jaspers","332245","","22919","20200211014932"
"58","George_Herbert_Mead","333826","","36193","20200204225406"
"59","Bruno_Latour","362828","","38922","20200211014933"
"60","Pierre_Duhem","424304","","37448","20200210105723"
"61","Gaston_Bachelard","548540","","17778","20200211014938"
"62","Georges_Canguilhem","764313","","13158","20200211014940"
"63","Michel_Serres","779628","","12955","20200209235228"
"64","C._D._Broad","833962","","12114","20200209121346"
"65","John_Gray_(philosopher)","1053576","","28313","20200204225629"
"66","Nelson_Goodman","1179596","","14404","20200206095722"
"67","Wilhelm_Windelband","1183183","","5594","20200211014945"
"68","Ernest_Nagel","1216778","","6825","20200211031305"
"69","David_Stove","1217818","","11205","20200204225657"
"70","John_Earman","1245202","","5532","20200207054656"
"71","Carl_Gustav_Hempel","1380238","","10247","20200209121346"
"72","Bas_van_Fraassen","1403783","","13765","20200211014946"
"73","Norwood_Russell_Hanson","1404026","","13849","20200204225720"
"74","Michael_Ruse","1439425","","15263","20200206162212"
"75","Sandra_Harding","1496291","","19150","20200207030953"
"76","Stephen_Toulmin","1543748","","28070","20200211014946"
"77","Hans_Reichenbach","1546863","","18954","20200209235341"
"78","Nancy_Cartwright_(philosopher)","1677762","","11981","20200210200602"
"79","Don_Ihde","1834764","","13250","20200211014949"
"80","Ruth_Millikan","2015850","","7711","20200204225834"
"81","Nikolai_Fyodorovich_Fyodorov","2068592","","13042","20200209235425"
"82","Alexandre_Koyré","2170956","","13711","20200211014951"
"83","Edwin_Arthur_Burtt","2362767","","6100","20200204225911"
"84","Sam_Harris","2400008","","40287","20200210200811"
"85","Philip_Kitcher","2672927","","14282","20200209041427"
"86","R._B._Braithwaite","3072250","","12448","20200204230009"
"87","Émile_Meyerson","3194780","","4056","20200204230021"
"88","Gustav_Bergmann","3205590","","5504","20200204230022"
"89","Penelope_Maddy","4023241","","6344","20200204230113"
"90","David_Papineau","4773332","","4692","20200211015001"
"91","Patrick_Suppes","4824664","","13575","20200211062428"
"92","Horace_Romano_Harré","5110268","","17042","20200211015002"
"93","Richard_Boyd","5154040","","4374","20200210201423"
"94","Helen_Longino","5356017","","23979","20200209024712"
"95","Adolf_Grünbaum","5563510","","12339","20200211015003"
"96","Neven_Sesardić","7006226","","10888","20200204230352"
"97","Jacques_Bouveresse","7335240","","9785","20200210000022"
"98","Michael_Devitt","7681697","","7089","20200208232302"
"99","David_Malament","7791065","","6075","20200204230430"
"100","Arthur_Fine","7829592","","3485","20200204230432"
"101","Wolfgang_Stegmüller","7895438","","8228","20200204230436"
"102","Larry_Laudan","8089251","","7875","20200211015006"
"103","Alison_Wylie","8101680","","16767","20200204230444"
"104","Hajime_Tanabe","8624261","","20650","20200211031305"
"105","Isabelle_Stengers","9004262","","7732","20200211015006"
"106","John_A._Leslie","10058679","","4037","20200204230555"
"107","Peter_Lipton","10130915","","8195","20200204230558"
"108","Etienne_Vermeersch","10321866","","6144","20200205134505"
"109","Sandra_Laugier","11781793","","13222","20200211045520"
"110","Wolfgang_Smith","11902898","","23235","20200211031306"
"111","Harvey_Brown_(philosopher)","12985069","","2925","20200202050624"
"112","David_N._Stamos","13575276","","3929","20200209100712"
"113","Dimitris_Dimitrakos","13988922","","4001","20200210000428"
"114","Karen_Barad","14091688","","12000","20200211015010"
"115","Rupert_Read","14322542","","31920","20200208194556"
"116","Cristina_Bicchieri","14832576","","12836","20200210202814"
"117","Jules_Vuillemin","15287818","","8714","20200211015010"
"118","Jerome_Ravetz","15716437","","13730","20200204231011"
"119","Gilles-Gaston_Granger","16702690","","6271","20200211015011"
"120","Michael_Friedman_(philosopher)","18889068","","6801","20200206080718"
"121","Jeremy_Butterfield","19217342","","19844","20200204231236"
"122","Roberto_Torretti","21635202","","6921","20200209121346"
"123","Barry_Loewer","24044742","","2649","20200131224913"
"124","Lawrence_Sklar","24526420","","5030","20200204231547"
"125","Geoffrey_Hellman","24774661","","3064","20200204231553"
"126","Donald_A._Gillies","24874263","","4708","20200211015015"
"127","Socrates","25664190","","103805","20200211074812"
"128","Thomas_Kuhn","25778629","","29724","20200211015015"
"129","Jordi_Pigem","25827397","","7203","20200206191019"
"130","Øystein_Linnebo","26959763","","4993","20200204231704"
"131","Israel_Scheffler","27068177","","7445","20200204231707"
"132","Kuruvilla_Pandikattu","27415000","","15566","20200205135621"
"133","Evandro_Agazzi","27547331","","5348","20200207123133"
